time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1704813788,499770.50,5.000000E+06,499770.50,49977.05,5.000000E+05,49977.05
1704813798,530189.10,1.030000E+07,514973.60,53018.91,1.030000E+06,51497.36
1704813808,550032.90,1.580000E+07,526659.16,55003.29,1.580000E+06,52665.92
1704813818,400002.57,1.980000E+07,494995.51,40000.26,1.980000E+06,49499.55
1704813828,500016.14,2.480000E+07,495999.60,50001.61,2.480000E+06,49599.96
1704813838,589975.56,3.070000E+07,511662.79,58997.56,3.070000E+06,51166.28
1704813848,509984.36,3.580000E+07,511423.01,50998.44,3.580000E+06,51142.30
1704813858,530012.03,4.110000E+07,513746.57,53001.20,4.110000E+06,51374.66
1704813868,489806.92,4.600000E+07,511085.69,48980.69,4.600000E+06,51108.57
1704813878,500204.53,5.100000E+07,509998.03,50020.45,5.100000E+06,50999.80
1704813888,489969.89,5.590000E+07,508177.19,48996.99,5.590000E+06,50817.72
1704813898,520028.27,6.110000E+07,509164.72,52002.83,6.110000E+06,50916.47
1704813908,419998.19,6.530000E+07,502305.76,41999.82,6.530000E+06,50230.58
1704813918,439975.36,6.970000E+07,497853.37,43997.54,6.970000E+06,49785.34
1704813928,420028.80,7.390000E+07,492665.43,42002.88,7.390000E+06,49266.54
1704813938,509991.49,7.900000E+07,493748.33,50999.15,7.900000E+06,49374.83
1704813948,460003.81,8.360000E+07,491763.38,46000.38,8.360000E+06,49176.34
1704813958,540007.34,8.900000E+07,494443.56,54000.73,8.900000E+06,49444.36
1704813968,509989.05,9.410000E+07,495261.76,50998.91,9.410000E+06,49526.18
1704813978,529986.58,9.940000E+07,496998.03,52998.66,9.940000E+06,49699.80
1704813988,519810.63,1.046000E+08,498084.72,51981.06,1.046000E+07,49808.47
1704813998,550181.93,1.101000E+08,500451.98,55018.19,1.101000E+07,50045.20
1704814008,540014.13,1.155000E+08,502172.02,54001.41,1.155000E+07,50217.20
1704814018,500024.47,1.205000E+08,502082.55,50002.45,1.205000E+07,50208.25
1704814028,509790.01,1.256000E+08,502390.97,50979.00,1.256000E+07,50239.10
1704814038,380145.00,1.294000E+08,497691.00,38014.50,1.294000E+07,49769.10
1704814048,490023.35,1.343000E+08,497407.03,49002.33,1.343000E+07,49740.70
1704814058,509955.54,1.394000E+08,497855.23,50995.55,1.394000E+07,49785.52
1704814068,550035.34,1.449000E+08,499654.42,55003.53,1.449000E+07,49965.44
1704814078,520001.64,1.501000E+08,500332.66,52000.16,1.501000E+07,50033.27
1704814088,549975.70,1.556000E+08,501934.12,54997.57,1.556000E+07,50193.41
1704814098,530032.32,1.609000E+08,502812.13,53003.23,1.609000E+07,50281.21
1704814108,480003.28,1.657000E+08,502120.96,48000.33,1.657000E+07,50212.10
1704814118,530004.83,1.710000E+08,502941.07,53000.48,1.710000E+07,50294.11
1704814128,569947.08,1.767000E+08,504855.69,56994.71,1.767000E+07,50485.57
1704814138,370008.63,1.804000E+08,501110.04,37000.86,1.804000E+07,50111.00
1704814148,399999.42,1.844000E+08,498377.32,39999.94,1.844000E+07,49837.73
1704814158,430019.28,1.887000E+08,496578.51,43001.93,1.887000E+07,49657.85
1704814168,549960.33,1.942000E+08,497947.37,54996.03,1.942000E+07,49794.74
1704814178,430018.49,1.985000E+08,496249.22,43001.85,1.985000E+07,49624.92
1704814188,370007.06,2.022000E+08,493170.21,37000.71,2.022000E+07,49317.02
1704814198,409992.18,2.063000E+08,491189.74,40999.22,2.063000E+07,49118.97
1704814208,459999.58,2.109000E+08,490464.39,45999.96,2.109000E+07,49046.44
1704814218,319988.70,2.141000E+08,486589.81,31998.87,2.141000E+07,48658.98
1704814228,380007.93,2.179000E+08,484221.38,38000.79,2.179000E+07,48422.14
1704814238,440004.18,2.223000E+08,483260.15,44000.42,2.223000E+07,48326.01
1704814248,559982.33,2.279000E+08,484892.58,55998.23,2.279000E+07,48489.26
1704814258,460042.43,2.325000E+08,484374.92,46004.24,2.325000E+07,48437.49
1704814268,539991.50,2.379000E+08,485509.97,53999.15,2.379000E+07,48551.00
1704814278,469990.10,2.426000E+08,485199.57,46999.01,2.426000E+07,48519.96
1704814288,499977.98,2.476000E+08,485489.35,49997.80,2.476000E+07,48548.94
1704814298,500008.17,2.526000E+08,485768.55,50000.82,2.526000E+07,48576.86
1704814308,480025.50,2.574000E+08,485660.20,48002.55,2.574000E+07,48566.02
1704814318,459990.52,2.620000E+08,485184.83,45999.05,2.620000E+07,48518.48
1704814328,479973.13,2.668000E+08,485090.06,47997.31,2.668000E+07,48509.01
1704814338,560048.91,2.724000E+08,486428.50,56004.89,2.724000E+07,48642.85
1704814348,509985.61,2.775000E+08,486841.79,50998.56,2.775000E+07,48684.18
1704814358,510002.65,2.826000E+08,487241.11,51000.27,2.826000E+07,48724.11
1704814368,489995.77,2.875000E+08,487287.80,48999.58,2.875000E+07,48728.78
1704814378,550004.45,2.930000E+08,488333.07,55000.45,2.930000E+07,48833.31
1704814388,459996.83,2.976000E+08,487868.54,45999.68,2.976000E+07,48786.85
1704814398,579984.38,3.034000E+08,489354.32,57998.44,3.034000E+07,48935.43
1704814408,470005.32,3.081000E+08,489047.20,47000.53,3.081000E+07,48904.72
1704814418,409978.10,3.122000E+08,487811.68,40997.81,3.122000E+07,48781.17
1704814428,490031.62,3.171000E+08,487845.83,49003.16,3.171000E+07,48784.58
1704814438,519979.29,3.223000E+08,488332.72,51997.93,3.223000E+07,48833.27
1704814448,540014.32,3.277000E+08,489104.06,54001.43,3.277000E+07,48910.41
1704814458,399992.32,3.317000E+08,487793.57,39999.23,3.317000E+07,48779.36
1704814468,449987.03,3.362000E+08,487245.64,44998.70,3.362000E+07,48724.56
1704814478,410033.22,3.403000E+08,486142.69,41003.32,3.403000E+07,48614.27
1704814488,479986.90,3.451000E+08,486055.99,47998.69,3.451000E+07,48605.60
1704814498,539996.69,3.505000E+08,486805.17,53999.67,3.505000E+07,48680.52
1704814508,419999.82,3.547000E+08,485890.03,41999.98,3.547000E+07,48589.00
1704814518,380008.64,3.585000E+08,484459.23,38000.86,3.585000E+07,48445.92
1704814528,420002.29,3.627000E+08,483599.81,42000.23,3.627000E+07,48359.98
1704814538,520002.87,3.679000E+08,484078.79,52000.29,3.679000E+07,48407.88
1704814548,539980.70,3.733000E+08,484804.82,53998.07,3.733000E+07,48480.48
1704814558,479981.33,3.781000E+08,484742.98,47998.13,3.781000E+07,48474.30
1704814568,480031.63,3.829000E+08,484683.34,48003.16,3.829000E+07,48468.33
1704814578,510004.35,3.880000E+08,484999.85,51000.44,3.880000E+07,48499.99
1704814588,529961.38,3.933000E+08,485554.97,52996.14,3.933000E+07,48555.50
1704814598,460003.29,3.979000E+08,485243.37,46000.33,3.979000E+07,48524.34
1704814608,560008.52,4.035000E+08,486144.14,56000.85,4.035000E+07,48614.41
1704814618,550003.17,4.090000E+08,486904.36,55000.32,4.090000E+07,48690.44
1704814628,600008.37,4.150000E+08,488234.98,60000.84,4.150000E+07,48823.50
1704814638,489976.30,4.199000E+08,488255.23,48997.63,4.199000E+07,48825.52
1704814648,480021.94,4.247000E+08,488160.60,48002.19,4.247000E+07,48816.06
1704814658,480003.63,4.295000E+08,488067.90,48000.36,4.295000E+07,48806.79
1704814668,550021.37,4.350000E+08,488763.98,55002.14,4.350000E+07,48876.40
1704814678,589973.12,4.409000E+08,489888.58,58997.31,4.409000E+07,48988.86
1704814688,520015.41,4.461000E+08,490219.63,52001.54,4.461000E+07,49021.96
1704814698,560011.91,4.517000E+08,490978.23,56001.19,4.517000E+07,49097.82
1704814708,519992.49,4.569000E+08,491290.22,51999.25,4.569000E+07,49129.02
1704814718,499978.53,4.619000E+08,491382.65,49997.85,4.619000E+07,49138.26
1704814728,499985.97,4.669000E+08,491473.21,49998.60,4.669000E+07,49147.32
1704814738,550019.88,4.724000E+08,492083.05,55001.99,4.724000E+07,49208.31
1704814748,460012.07,4.770000E+08,491752.43,46001.21,4.770000E+07,49175.24
1704814758,489963.17,4.819000E+08,491734.17,48996.32,4.819000E+07,49173.42
1704814768,430042.15,4.862000E+08,491111.08,43004.21,4.862000E+07,49111.11
1704814778,389983.66,4.901000E+08,490099.76,38998.37,4.901000E+07,49009.98
1704814788,520013.26,4.953000E+08,490395.93,52001.33,4.953000E+07,49039.59
1704814798,399999.60,4.993000E+08,489509.69,39999.96,4.993000E+07,48950.97
1704814808,469980.80,5.040000E+08,489320.08,46998.08,5.040000E+07,48932.01
1704814818,549986.11,5.095000E+08,489903.42,54998.61,5.095000E+07,48990.34
1704814828,570002.90,5.152000E+08,490666.27,57000.29,5.152000E+07,49066.63
1704814838,540023.85,5.206000E+08,491131.89,54002.38,5.206000E+07,49113.19
1704814848,459971.51,5.252000E+08,490840.65,45997.15,5.252000E+07,49084.07
1704814858,489995.02,5.301000E+08,490832.82,48999.50,5.301000E+07,49083.28
1704814868,500025.65,5.351000E+08,490917.16,50002.56,5.351000E+07,49091.72
1704814878,519991.06,5.403000E+08,491181.47,51999.11,5.403000E+07,49118.15
1704814888,520025.69,5.455000E+08,491441.31,52002.57,5.455000E+07,49144.13
1704814898,539992.74,5.509000E+08,491874.81,53999.27,5.509000E+07,49187.48
1704814908,500010.47,5.559000E+08,491946.81,50001.05,5.559000E+07,49194.68
1704814918,569987.81,5.616000E+08,492631.39,56998.78,5.616000E+07,49263.14
1704814928,490009.38,5.665000E+08,492608.59,49000.94,5.665000E+07,49260.86
1704814938,499971.31,5.715000E+08,492672.07,49997.13,5.715000E+07,49267.21
1704814948,500003.28,5.765000E+08,492734.73,50000.33,5.765000E+07,49273.47
1704814958,560018.05,5.821000E+08,493304.91,56001.80,5.821000E+07,49330.49
1704814968,519981.73,5.873000E+08,493529.09,51998.17,5.873000E+07,49352.91
1704814978,540013.55,5.927000E+08,493916.45,54001.36,5.927000E+07,49391.65
1704814988,499997.79,5.977000E+08,493966.71,49999.78,5.977000E+07,49396.67
1704814998,590001.35,6.036000E+08,494753.88,59000.13,6.036000E+07,49475.39
1704815008,500020.30,6.086000E+08,494796.69,50002.03,6.086000E+07,49479.67
1704815018,509952.20,6.137000E+08,494918.93,50995.22,6.137000E+07,49491.89
1704815028,470032.69,6.184000E+08,494719.85,47003.27,6.184000E+07,49471.98
1704815038,330003.71,6.217000E+08,493412.59,33000.37,6.217000E+07,49341.26
1704815048,519976.16,6.269000E+08,493621.76,51997.62,6.269000E+07,49362.18
1704815058,509991.03,6.320000E+08,493749.65,50999.10,6.320000E+07,49374.97
