time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1701377241,198090.87,1.981053E+06,198090.87,24998.18,2.500000E+05,24998.18
1701377251,213436.41,4.115435E+06,205763.39,26999.77,5.200000E+05,25998.94
1701377261,221155.63,6.327101E+06,210894.17,27998.61,8.000000E+05,26665.50
1701377271,221250.71,8.539427E+06,213483.06,28002.29,1.080000E+06,26999.67
1701377281,221494.34,1.075449E+07,215085.37,27998.44,1.360000E+06,27199.43
1701377291,221521.40,1.296957E+07,216157.97,28001.74,1.640000E+06,27333.14
1701377301,213443.28,1.510400E+07,215770.16,26999.98,1.910000E+06,27285.55
1701377311,221569.52,1.731972E+07,216495.08,27999.80,2.190000E+06,27374.83
1701377321,229600.16,1.961566E+07,217951.16,29000.70,2.480000E+06,27555.48
1701377331,221443.46,2.183023E+07,218300.41,27998.33,2.760000E+06,27599.76
1701377341,205574.47,2.388591E+07,217143.54,26000.74,3.020000E+06,27454.40
1701377351,205361.54,2.593946E+07,216161.74,26000.84,3.280000E+06,27333.28
1701377361,221553.41,2.815508E+07,216576.50,27999.02,3.560000E+06,27384.49
1701377371,236904.56,3.052411E+07,218028.49,30000.11,3.860000E+06,27571.32
1701377381,221207.08,3.273626E+07,218240.41,27999.00,4.140000E+06,27599.83
1701377391,221246.24,3.494866E+07,218428.26,28000.84,4.420000E+06,27624.89
1701377401,221243.65,3.716117E+07,218593.88,27999.06,4.700000E+06,27646.90
1701377411,253922.10,3.970028E+07,220556.47,32001.37,5.020000E+06,27888.81
1701377421,213407.90,4.183447E+07,220180.21,26998.57,5.290000E+06,27841.95
1701377431,205500.76,4.388946E+07,219446.25,26000.32,5.550000E+06,27749.87
1701377441,142293.70,4.531239E+07,215772.34,18000.00,5.730000E+06,27285.59
1701377451,126057.28,4.657291E+07,211694.56,16000.68,5.890000E+06,26772.67
1701377461,118553.54,4.775848E+07,207644.84,14999.52,6.040000E+06,26260.78
1701377471,110986.36,4.886837E+07,203617.35,13999.74,6.180000E+06,25749.89
