time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1704813831,2169732.64,2.170000E+07,2169732.64,216973.26,2.170000E+06,216973.26
1704813841,1490117.24,3.660000E+07,1829959.24,149011.72,3.660000E+06,182995.92
1704813851,2599967.31,6.260000E+07,2086626.94,259996.73,6.260000E+06,208662.69
1704813861,2510015.36,8.770000E+07,2192472.04,251001.54,8.770000E+06,219247.20
1704813871,1499966.63,1.027000E+08,2053969.91,149996.66,1.027000E+07,205396.99
1704813881,1790059.88,1.206000E+08,2009986.67,179005.99,1.206000E+07,200998.67
1704813891,1729915.53,1.379000E+08,1969975.06,172991.55,1.379000E+07,196997.51
1704813901,1848592.75,1.564000E+08,1954792.33,184859.27,1.564000E+07,195479.23
1704813911,1941422.85,1.758000E+08,1953307.94,194142.28,1.758000E+07,195330.79
1704813921,1469988.53,1.905000E+08,1904976.23,146998.85,1.905000E+07,190497.62
1704813931,1980126.31,2.103000E+08,1911807.58,198012.63,2.103000E+07,191180.76
1704813941,1960064.09,2.299000E+08,1915828.81,196006.41,2.299000E+07,191582.88
1704813951,2319801.82,2.531000E+08,1946906.04,231980.18,2.531000E+07,194690.60
1704813961,1350007.09,2.666000E+08,1904270.96,135000.71,2.666000E+07,190427.10
1704813971,1990054.77,2.865000E+08,1909989.69,199005.48,2.865000E+07,190998.97
1704813981,2080071.52,3.073000E+08,1920619.41,208007.15,3.073000E+07,192061.94
1704813991,2079844.09,3.281000E+08,1929986.20,207984.41,3.281000E+07,192998.62
1704814001,1720114.59,3.453000E+08,1918327.48,172011.46,3.453000E+07,191832.75
1704814011,1499939.50,3.603000E+08,1896306.28,149993.95,3.603000E+07,189630.63
1704814021,1640109.00,3.767000E+08,1883497.29,164010.90,3.767000E+07,188349.73
1704814031,1889980.15,3.956000E+08,1883806.00,188998.01,3.956000E+07,188380.60
1704814041,2190024.91,4.175000E+08,1897724.86,219002.49,4.175000E+07,189772.49
1704814051,1799864.52,4.355000E+08,1893469.76,179986.45,4.355000E+07,189346.98
1704814061,1979956.35,4.553000E+08,1897073.43,197995.64,4.553000E+07,189707.34
1704814071,1709998.40,4.724000E+08,1889590.46,170999.84,4.724000E+07,188959.05
1704814081,2140174.62,4.938000E+08,1899227.51,214017.46,4.938000E+07,189922.75
1704814091,2000013.65,5.138000E+08,1902960.30,200001.36,5.138000E+07,190296.03
