time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1701509985,2309280.40,2.309303E+07,2309280.40,291997.10,2.920000E+06,291997.10
1701509995,2331691.59,4.641157E+07,2320486.33,294979.53,5.870000E+06,293488.36
1701510005,1644779.95,6.285822E+07,2095267.25,208014.44,7.950000E+06,264999.12
1701510015,1936943.77,8.222957E+07,2055683.55,244975.90,1.040000E+07,259992.96
1701510025,2285284.22,1.050801E+08,2101598.98,289029.22,1.329000E+07,265799.62
1701510035,1819064.44,1.232726E+08,2054505.91,229976.34,1.559000E+07,259828.57
1701510045,2023842.54,1.435100E+08,2050125.69,256013.35,1.815000E+07,259283.57
1701510055,2222046.57,1.657302E+08,2071615.46,281002.84,2.096000E+07,261998.43
1701510065,2071338.12,1.864437E+08,2071584.64,261999.38,2.358000E+07,261998.54
1701510075,2055425.99,2.069987E+08,2069968.73,259989.79,2.618000E+07,261797.66
1701510085,2253027.50,2.295282E+08,2086609.73,285010.64,2.903000E+07,263907.84
1701510095,1842626.00,2.479546E+08,2066277.69,232998.08,3.136000E+07,261332.02
1701510105,1992602.15,2.678807E+08,2060610.34,251998.51,3.388000E+07,260614.06
1701510115,2189597.90,2.897763E+08,2069823.53,277005.33,3.665000E+07,261784.83
1701510125,2055248.32,3.103286E+08,2068851.85,260001.57,3.925000E+07,261665.95
1701510135,2087500.69,3.312035E+08,2070017.40,264001.21,4.189000E+07,261811.90
1701510145,2435268.98,3.555567E+08,2091503.14,307993.85,4.497000E+07,264528.53
1701510155,1802951.46,3.735883E+08,2075470.79,227973.58,4.725000E+07,262497.49
1701510165,1913244.94,3.927177E+08,2066933.94,242038.25,4.967000E+07,261420.86
1701510175,2087908.27,4.135988E+08,2067982.75,263974.81,5.231000E+07,261548.57
1701510185,2015964.67,4.337578E+08,2065505.79,255008.52,5.486000E+07,261237.15
1701510195,2371472.05,4.574724E+08,2079413.22,300001.92,5.786000E+07,262999.17
1701510205,1842411.51,4.758965E+08,2069108.83,233000.06,6.019000E+07,261694.86
1701510215,2341000.50,4.993061E+08,2080437.42,296005.22,6.315000E+07,263124.43
1701510225,2055676.07,5.198620E+08,2079447.01,260010.01,6.575000E+07,262999.86
1701510235,1896713.94,5.388311E+08,2072418.13,239975.47,6.815000E+07,262114.22
1701510245,2237824.01,5.612070E+08,2078543.62,283029.84,7.098000E+07,262888.79
1701510255,1953477.20,5.807430E+08,2074076.69,246984.01,7.345000E+07,262320.73
1701510265,2205908.16,6.028009E+08,2078622.35,279015.50,7.624000E+07,262896.38
1701510275,1912946.52,6.219315E+08,2073099.51,241985.87,7.866000E+07,262199.32
1701510285,2175116.40,6.436812E+08,2076390.16,275017.69,8.141000E+07,262612.79
1701510295,2039162.29,6.640735E+08,2075226.76,257991.88,8.399000E+07,262468.38
1701510305,1786851.39,6.819425E+08,2066487.89,225993.80,8.625000E+07,261363.06
1701510315,2134976.65,7.032920E+08,2068502.24,270003.00,8.895000E+07,261617.18
1701510325,1937167.52,7.226640E+08,2064749.78,244996.69,9.140000E+07,261142.30
1701510335,1953036.95,7.421948E+08,2061646.58,246994.58,9.387000E+07,260749.30
1701510345,2111300.71,7.633065E+08,2062988.50,267015.87,9.654000E+07,260918.66
1701510355,1391609.22,7.772236E+08,2045319.39,175987.10,9.830000E+07,258683.46
1701510365,2237736.70,7.996000E+08,2050252.94,283012.13,1.011300E+08,259307.24
1701510375,1858113.13,8.181816E+08,2045449.34,234994.35,1.034800E+08,258699.41
1701510385,2182673.96,8.400069E+08,2048796.06,276018.72,1.062400E+08,259121.80
1701510395,2071274.30,8.607213E+08,2049331.29,261978.35,1.088600E+08,259189.82
1701510405,1960757.58,8.803280E+08,2047271.54,248011.49,1.113400E+08,258929.87
1701510415,2087280.31,9.012004E+08,2048180.81,264004.58,1.139800E+08,259045.20
1701510425,1581211.64,9.170125E+08,2037803.79,200001.11,1.159800E+08,257733.12
1701510435,2261485.78,9.396273E+08,2042666.42,286000.64,1.188400E+08,258347.63
1701510445,2134483.88,9.609775E+08,2044620.47,269931.62,1.215400E+08,258594.16
1701510455,2237561.29,9.833489E+08,2048639.30,283053.77,1.243700E+08,259103.64
1701510465,2206081.40,1.005409E+09,2051852.31,279007.45,1.271600E+08,259509.82
1701510475,2356055.59,1.028970E+09,2057936.39,297999.07,1.301400E+08,260279.61
1701510485,2206309.25,1.051033E+09,2060845.63,279002.57,1.329300E+08,260646.72
1701510495,2086936.13,1.071901E+09,2061347.34,264015.62,1.355700E+08,260711.51
1701510505,2134505.53,1.093246E+09,2062727.72,269993.07,1.382700E+08,260886.63
1701510515,1700430.34,1.110251E+09,2056018.41,214996.77,1.404200E+08,260036.81
1701510525,2236874.71,1.132621E+09,2059306.86,282986.53,1.432500E+08,260454.10
1701510535,2443528.04,1.157057E+09,2066168.14,308990.70,1.463400E+08,261320.85
1701510545,1660815.58,1.173664E+09,2059057.02,210009.24,1.484400E+08,260420.68
1701510555,2244700.46,1.196111E+09,2062257.77,283999.32,1.512800E+08,260827.21
1701510565,2348634.33,1.219596E+09,2067111.38,297014.04,1.542500E+08,261440.52
1701510575,2094909.43,1.240546E+09,2067574.68,264997.63,1.569000E+08,261499.80
1701510585,2270150.40,1.263246E+09,2070895.47,287010.62,1.597700E+08,261918.00
1701510595,2403914.46,1.287286E+09,2076266.75,303999.54,1.628100E+08,262596.73
1701510605,1865907.65,1.305946E+09,2072927.49,235983.51,1.651700E+08,262174.27
1701510615,2229458.12,1.328240E+09,2075373.27,282001.46,1.679900E+08,262484.07
1701510625,2127420.32,1.349514E+09,2076173.98,269003.00,1.706800E+08,262584.36
1701510635,2094779.07,1.370462E+09,2076455.88,264996.53,1.733300E+08,262620.91
1701510645,2087279.98,1.391335E+09,2076617.43,264005.64,1.759700E+08,262641.58
1701510655,2071457.26,1.412049E+09,2076541.54,262003.64,1.785900E+08,262632.20
1701510665,1992300.75,1.431973E+09,2075320.59,251983.97,1.811100E+08,262477.86

Summary:
loaded 1435179422 metrics in 691.309sec with 1 workers (mean rate 2076032.25 metrics/sec)
loaded 181515490 rows in 691.309sec with 1 workers (mean rate 262567.88 rows/sec)
